Item,Description,Quantity,Unit price ,Total price,URL,Running Total ($ with Tax),Total w/ Shipping
PCB,Keyboard PCB,5,$3.46,$17.30,https://jlcpcb.com/,$30.31,$33.65
MCU,Raspberry Pi Pico ,1,$2.64,$2.64,https://www.aliexpress.com/item/1005006615944063.html?spm=a2g0o.cart.0.0.34ff38dak8zI5C&mp=1&pdp_npi=6%40dis%21USD%21USD%202.64%21USD%202.64%21%21USD%202.64%21%21%21%402101e8f317680786548757992efb8a%2112000037830228611%21ct%21CA%216994311444%21%211%210%21,$2.64,$2.64
Switches,Otemu Cream yellow ,70,$0.27,$18.69,https://www.aliexpress.com/item/1005006263528658.html?spm=a2g0o.cart.0.0.3ea738daCRAVLy&mp=1&pdp_npi=6%40dis%21USD%21USD%2018.69%21USD%2018.69%21%21USD%2018.69%21%21%21%4021033d1217680085731295916ed11c%2112000036520553929%21ct%21CA%216994311444%21%211%210%21,$18.69,$18.69
Diodes,1N4148 DO-35 IN4148,100,$0.02,$2.02,https://www.aliexpress.com/item/1005007807649334.html?spm=a2g0o.cart.0.0.3ea738daCRAVLy&mp=1&pdp_npi=6%40dis%21USD%21USD%202.02%21USD%202.02%21%21USD%202.02%21%21%21%4021033d1217680085731295916ed11c%2112000042270438468%21ct%21CA%216994311444%21%211%210%21,$2.02,$2.02
Stabilizers,PCB-mount stabilizers,1,$6.86,$6.86,https://www.aliexpress.com/item/1005004229140548.html?spm=a2g0o.detail.0.0.42705OPY5OPYZb&mp=1&pdp_npi=6%40dis%21USD%21USD%206.86%21USD%206.86%21%21USD%206.86%21%21%21%402103122117680092977833580ea6cf%2112000028456713257%21ct%21CA%216994311444%21%211%210%21,$6.86,$6.86
Standoff,M3 Standoffs 6mm,50,$0.04,$1.93,https://www.aliexpress.com/item/32539100523.html?spm=a2g0o.detail.0.0.3c99DXfpDXfpkB&mp=1&pdp_npi=6%40dis%21USD%21USD%201.61%21USD%201.61%21%21USD%201.61%21%21%21%402103122117680093888736500ea6cf%2112000036690751384%21ct%21CA%216994311444%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$1.93,$1.93
Screws,M3 Screws 5mm,50,$0.03,$1.61,https://www.aliexpress.com/item/32539100523.html?spm=a2g0o.productlist.0.0.df4a6416YomQSb&mp=1&pdp_npi=6%40dis%21USD%21USD%201.61%21USD%201.61%21%21USD%201.61%21%21%21%402103122117680095346584016ea6cf%2112000036690751384%21ct%21CA%216994311444%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,$1.61,$1.61
Inserts,M3 Heat inserts,50,$0.05,$2.26,https://www.aliexpress.com/item/1005003582355741.html?spm=a2g0o.detail.0.0.6235j6Sfj6SfOC&mp=1&pdp_npi=6%40dis%21USD%21USD%202.26%21USD%202.26%21%21USD%202.26%21%21%21%402103122117680095514434382ea6cf%2112000026370649726%21ct%21CA%216994311444%21%211%210%21,$2.26,$2.26
KeyCaps, Keycaps for Cherry MX Switches,1,$11.49,$11.49,https://www.aliexpress.com/item/1005009580866548.html?spm=a2g0o.cart.0.0.5b8538daREDYj3&mp=1&pdp_npi=6%40dis%21USD%21USD%2011.49%21USD%2011.49%21%21USD%2011.49%21%21%21%402103122117680097581772043ea6cf%2112000049526083200%21ct%21CA%216994311444%21%211%210%21,$11.49,$11.49
case,3D Printed case,1,-,-,-,-,-
L2C OLED 0.91 inch,OLED screen ,1,$2.53,$2.53,https://www.aliexpress.com/item/1005006297182727.html?spm=a2g0o.cart.0.0.34ff38dak8zI5C&mp=1&pdp_npi=6%40dis%21USD%21USD%202.53%21USD%202.53%21%21USD%202.53%21%21%21%402101e8f317680786548757992efb8a%2112000036657700927%21ct%21CA%216994311444%21%211%210%21,$2.53,$2.53
,,,,,,,$83.68